"","Category","Type","Organisation","Organisation_type","Country","City","Source"
"439","Divestment","Coal and Tar Sands Only","South Yorkshire Pension Fund","Pension Fund","UK","Barnsley","http://gofossilfree.org/uk/media/"
"440","Divestment","Coal Only","Stanford University","Educational Institution","USA","Stanford","--"
"441","Divestment","Full","Staples Trust","Philanthropic Foundation","UK","London","--"
"442","Divestment","Full","State College, PA","Educational Institution","USA","State College","--"
"443","Divestment","Full","Sterling College","Educational Institution","USA","Craftsbury Common","--"
"444","Divestment","Coal Only","Steyler Ethik Bank","For Profit Corporation","Germany","Sankt Augustin","http://oeko-invest.de/steyler-bank-verabschiedet-sich-von-kohlekraft-investments/"
"445","Divestment","Full","Stockholm University","Educational Institution","Sweden","Stockholm","http://www.su.se/english/about/news-and-events/stockholm-university-commits-to-fossil-free-investments-1.270839"
"446","Divestment","Partial","Storebrand","For Profit Corporation","Norway","Lysaker","http://blueandgreentomorrow.com/2014/01/27/major-pension-fund-storebrand-divests-from-a-further-10-fossil-fuel-firms/"
"447","Divestment","Full","Student Christian Movement","Faith-based Organization","UK","Birmingham","--"
"448","Divestment","Full","Students’ Society of McGill University","Educational Institution","Canada","Montreal","--"
"449","Divestment","Full","SUJAY Superannuation Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"450","Divestment","Full","SunCommon","For Profit Corporation","USA","Waterbury","http://www.vermontbiz.com/news/june/suncommon-401k-divests-fossil-fuels-and-invests-clean-energy"
"451","Divestment","Full","Super Three Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"452","Divestment","Fossil Free","Swarthmore Monthly Meeting","Faith-based Organization","USA","Swarthmore","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"453","Divestment","Full","The SWF Immersion Foundation","Philanthropic Foundation","USA","--","http://divestinvest.org/philanthropy/signatories/#/signatories/swf-immersion-foundation-2"
"454","Divestment","Full","Swift Foundation","Philanthropic Foundation","USA","Santa Barbara","--"
"455","Divestment","Full","Switzer Foundation","Philanthropic Foundation","USA","Belfast","http://www.switzernetwork.org/leadership/investing-our-future-taking-stand-fossil-fuels"
"456","Divestment","Full","Sydney Buddhist Centre","Faith-based Organization","Australia","Newtown","--"
"457","Divestment","Partial","Synod of Victoria and Tasmania","Faith-based Organization","Australia","Melbourne","http://www.greenfaith.org/programs/divest-and-reinvest/listing-of-known-religious-divestment-efforts"
"458","Divestment","Full","Syracuse University","Educational Institution","USA","Syracuse","http://dailyorange.com/2015/03/syracuse-university-announces-it-will-divest-from-fossil-fuels/?utm_content=buffera358e&utm_medium=social&utm_source=facebook.com&utm_campaign=buffer"
"459","Divestment","Full","Taikura Super Fund","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
"460","Divestment","Full","Tedworth Charitable Trust","Philanthropic Foundation","UK","London","http://divestinvest.org/wp-content/uploads/2015/06/PRESS-RELEASE-Divest-Invest-June-Announcement.pdf"
"461","Divestment","Full","Tellus Mater Foundation","Philanthropic Foundation","UK","--","http://divestinvest.org/philanthropy/#/signatories/tellus-mater-foundation"
"462","Divestment","Full","The Foundation of the University of Maine Presque Isle","Philanthropic Foundation","USA","Presque Isle","http://gofossilfree.org/usa/university-of-maine-system-divests-from-coal-announces-full-divestment-of-umpi-foundation/"
"463","Divestment","Full","The Grantham Foundation","Philanthropic Foundation","USA","Boston","--"
"464","Divestment","Full","The New School","Educational Institution","USA","New York","http://blogs.newschool.edu/news/2015/01/the-new-school-submits-bold-plan-to-tackle-climate-change/#.VSbe8_nF9Wj"
"465","Divestment","Full","The Roddick Foundation","Philanthropic Foundation","UK","--","http://divestinvest.org/philanthropy/signatories/#/signatories/ashden-trust"
"466","Divestment","Full","The Tin Dog Super","Pension Fund","Australia","--","http://www.divestfossilfuels.org.au/#!take-the-pledge-super-funds/c1987"
